Max Temp,,,,,,
Month,2017,2016,2015,2014,2013,2012
January,23,26,22,21,22,20
February,28,28,28,24,25,24
March,32,34,30,31,32,31
April,39,39,37,37,37,37
May,41,42,42,40,41,40
June,38,41,39,42,39,41
July,34,34,33,37,33,36
August,33,31,34,34,32,31
September,35,35,37,34,35,33
October,36,34,36,35,33,34
November,29,31,30,32,28,29
December,25,27,25,25,25,25
,,,,,,
Min Temp,,,,,,
Month,2017,2016,2015,2014,2013,2012
January,9,9,8,8,7,8
February,12,12,13,11,12,11
March,18,19,17,17,18,17
April,25,25,22,22,23,23
May,27,27,27,26,28,26
June,26,29,26,30,27,28
July,32,25,25,27,26,27
August,24,24,25,26,25,25
September,24,23,25,24,24,24
October,21,21,21,22,21,20
November,15,14,16,15,14,14
December,11,11,9,9,10,10
,,,,,,
Precipitation,,,,,,
Month,2017,2016,2015,2014,2013,2012
January,19,0,6,8,1,0
February,0,0,5,29,14,0
March,15,0,59,14,3,0
April,2,0,9,1,5,11
May,33,12,2,13,7,4
June,32,9,69,4,134,0
July,139,175,162,179,135,99
August,106,187,44,139,210,440
September,36,58,9,54,36,82
October,0,16,32,6,2,1
November,0,0,1,0,2,0
December,6,0,0,18,0,0
